Tahun,Bulan,Jumlah Perusahaan,Volume (Juta Saham),Nilai (Milyar Rp),Indeks Harga Saham Komposit
2009,Januari,397,40558,31391,1332.67
2009,Februari,396,36829,24663,1285.48
2009,Maret,396,40082,36788,1434.07
2009,April,396,188504,79412,1722.77
2009,Mei,396,282751,130920,1916.83
2009,Juni,397,185472,126866,2026.78
2009,Juli,401,138406,114624,2323.24
2009,Agustus,401,185121,121858,2341.54
2009,September,401,80123,66804,2467.59
2009,Oktober,402,100300,98969,2367.7
2009,November,402,116416,87741,2415.84
2009,Desember,398,73098,55099,2534.36
2010,Januari,398,88248,79012,2610.8
2010,Februari,400,76400,63556,2549.03
2010,Maret,401,97681,104136,2777.3
2010,April,401,119513,110461,2971.25
2010,Mei,401,111216,96959,2796.96
2010,Juni,402,108188,73689,2913.68
2010,Juli,408,97266,76936,3069.28
2010,Agustus,409,99116,89637,3081.88
2010,September,409,121598,100613,3501.3
2010,Oktober,412,152911,122209,3635.32
2010,November,417,157479,132496,3531.21
2010,Desember,420,101249,126534,3703.51
2011,Januari,421,83940,121284,3409.17
2011,Februari,422,55616,85768,3470.35
2011,Maret,422,87360,121871,3678.67
2011,April,423,101324,101879,3819.62
2011,Mei,426,141309,105412,3836.97
2011,Juni,428,105679,82927,3888.57
2011,Juli,432,115958,110092,4130.8
2011,Agustus,432,136806,132073,3841.73
2011,September,432,92916,108040,3549.03
2011,Oktober,432,108765,97489,3790.85
2011,November,435,76970,80596,3715.08
2011,Desember,440,96907,76010,3821.99
2012,Januari,442,97611,86754,3941.69
2012,Februari,442,88923,106226,3985.21
2012,Maret,442,69026,85421,4121.55
2012,April,443,100264,97741,4180.73
2012,Mei,443,87554,105236,3832.82
2012,Juni,445,83897,84717,3955.58
2012,Juli,451,67085,91229,4142.34
2012,Agustus,452,60397,71033,4060.33
2012,September,454,88409,90730,4262.56
2012,Oktober,455,98477,99053,4350.29
2012,November,458,94252,97697,4276.14
2012,Desember,459,117867,100277,4316.69
2013,Januari,463,97907,104780,4453.7
2013,Februari,464,136954,119774,4795.79
2013,Maret,464,141112,151499,4940.99
2013,April,464,128263,138295,5034.07
2013,Mei,465,135960,181778,5068.63
2013,Juni,472,119400,162281,4818.9
2013,Juli,479,95011,119096,4610.38
2013,Agustus,479,91423,105606,4195.09
2013,September,479,113009,137774,4316.18
2013,Oktober,479,100552,111165,4510.63
2013,November,480,89003,97942,4265.44
2013,Desember,483,94061,92131,4274.18
2014,Januari,488,78078,96886,4418.76
2014,Februari,488,89697,112517,4620.22
2014,Maret,489,115971,147669,4768.28
2014,April,493,108673,137940,4840.15
2014,Mei,494,90306,112281,4893.91
2014,Juni,496,96246,105589,4878.58
2014,Juli,501,116638,132830,5088.8
2014,Agustus,501,109811,115659,5136.86
2014,September,501,127460,131523,5137.58
2014,Oktober,501,114011,133423,5089.55
2014,November,501,111326,99886,5149.89
2014,Desember,506,168797,127190,5226.95
2015,Januari,506,147941,136604,5289.4
2015,Februari,506,117029,130600,5450.29
2015,Maret,507,137569,141351,5518.68
2015,April,507,142273,150385,5086.43
2015,Mei,510,114090,115300,5216.38
2015,Juni,512,115989,104000,4910.66
2015,Juli,516,90296,86306,4802.53
2015,Agustus,517,109775,104230,4509.61
2015,September,517,112610,92182,4223.91
2015,Oktober,518,138593,141394,4455.18
2015,November,518,93912,102170,4446.46
2015,Desember,521,126237,101838,4593.01
2016,Januari,522,79156,100014,4615.16
2016,Februari,524,94791,118001,4770.96
2016,Maret,524,131300,130137,4845.37
2016,April,524,114330,122304,4838.58
2016,Mei,525,94130,109362,4796.87
2016,Juni,529,143031,135492,5016.65
2016,Juli,531,107755,128653,5215.99
2016,Agustus,531,176515,183128,5386
2016,September,535,160521,157846,5364.8
2016,Oktober,535,269396,150164,5422.54
2016,November,535,283703,353821,5148.91
2016,Desember,537,270791,155666,5296.71
2017,Januari,535,303220,119291,5294.1
2017,Februari,535,415074,143350,5386.69
2017,Maret,536,275347,171063,5568.11
2017,April,539,203298,173441,5685.3
2017,Mei,543,240022,164356,5738.15
2017,Juni,553,141638,109812,5829.71
2017,Juli,554,162203,131863,5840.94
2017,Agustus,555,186676,138775,5864.06
2017,September,556,170331,126037,5900.85
2017,Oktober,559,198852,168929,6005.78
2017,November,560,245943,187096,5952.14
2017,Desember,566,302241,175579,6355.65
2018,Januari,567,257196,198902,6605.63
2018,Februari,568,282210,172056,6597.22
2018,Maret,569,238661,221371,6188.99
2018,April,573,188754,146631,5994.6
2018,Mei,581,184974,182237,5983.59
2018,Juni,585,133077,122029,5799.24
2018,Juli,594,203306,157852,5936.44
2018,Agustus,598,190500,184115,6018.46
2018,September,600,178049,133958,5976.55
2018,Oktober,609,226767,155988,5831.65
2018,November,615,206276,185235,6056.12
2018,Desember,619,246509,179713,6194.5
2019,Januari,624,293512,236675,6532.97
2019,Februari,625,272166,180005,6443.35
2019,Maret,626,300768,175149,6468.76
2019,April,629,290020,230389,6455.35
2019,Mei,630,284584,187098,6209.12
2019,Juni,634,225371,156966,6358.63
2019,Juli,649,400624,194938,6390.51
2019,Agustus,647,338713,184896,6328.47
2019,September,652,307071,172000,6169.1
2019,Oktober,656,383301,202327,6228.32
2019,November,661,228062,155332,6011.83
2019,Desember,668,238175,155144,6299.54
2020,Januari,674,164351,140067,5940.05
2020,Februari,680,122322,131392,5452.7
2020,Maret,685,143293,166004,4538.93
2020,April,690,158484,143486,4716.4
2020,Mei,691,137187,157169,4753.61
2020,Juni,692,198152,189655,4905.39
2020,Juli,697,206979,169543,5149.63
2020,Agustus,700,217089,172830,6073.87
2020,September,709,242612,170705,4870.04
2020,Oktober,709,222994,161388,5128.23
2020,November,708,415152,276428,5612.42
2020,Desember,713,523856,350131,5979.07
2021,Januari,716,472372,410267,5862.35
2021,Februari,720,351919,296230,6241.8
2021,Maret,724,386117,262571,5985.52
2021,April,728,317816,198177,5995.62
2021,Mei,729,283957,186755,5947.46
2021,Juni,735,438843,254923,5985.49
2021,Juli,739,372062,241219,6070.04
2021,Agustus,740,466052,275006,6150.3
2021,September,750,488726,276621,6286.94
2021,Oktober,751,473377,340408,6591.35
2021,November,755,520665,289277,6533.93
2021,Desember,766,524544,271478,6581.48
2022,Januari,771,415148,256484,6631.15
2022,Februari,774,442341,248751,6888.17
2022,Maret,778,534785,375567,7071.44
2022,April,785,482975,356509,7228.91
2022,Mei,787,330610,281786,7148.97
2022,Juni,787,539737,348269,6911.58
2022,Juli,795,454071,246225,6951.12
2022,Agustus,809,574001,310262,7178.59
2022,September,810,649089,345530,7040.8
2022,Oktober,810,483440,272708,7098.89
2022,November,820,443586,286100,7081.31
2022,Desember,825,536080,289705,6850.62
2023,Januari,835,384617,216200,6839.34
2023,Februari,845,379833,196432,6843.24
2023,Maret,853,363778,214133,6805.28
2023,April,858,218528,154178,6915.72
2023,Mei,864,451603,234591,6633.26
2023,Juni,868,312812,163919,6661.88
2023,Juli,876,347317,193180,6931.36
2023,Agustus,888,427799,246353,6953.26
2023,September,890,438654,227256,6939.89
2023,Oktober,898,435750,228413,6752.21
2023,November,902,448917,244214,7080.74
2023,Desember,903,520610,249464,7272.8
2024,Januari,903,4730217,2568333,7272.8
2024,Februari,911,373334,224662,7207.94
2024,Maret,921,330240,201744,7316.11
2024,April,921,310669,210358,7288.81
