,index,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other
0,11322,Yg mana di sekolah katolik tak pernah ada. Gw klo ketemu teman yg SMPnya di katolik terbagus itu minder abis',0,0,0,0,0,0,0,0,0
1,1001,USER USER USER USER USER &lt;strong&gt;DASAR CEBONG DUNGU 7 TURUNAN&lt;/strong&gt;',1,1,0,1,0,0,0,0,1
2,3070,19.pemimpindarimasjid adalah pemimpin yg dapat mengajak kita untuk menjalankan syariat Islam secara sungguh-sungguh. Jatuhkan pemimpin non muslim,1,0,0,1,1,0,0,0,0
3,6687,"Kali ini saya angkat jempol sama USER , bukan pada soal isi pernyataannya melainkan pada tindakannya yang bisa jadi aksi ""test the water"". Dengan begini ketahuan mana pembela agama sejati dan mana yang abal-abal. Yang mendukung pernyataan USER",0,0,0,0,0,0,0,0,0
4,948,"USER USER Siapa yang bilang jadi kapir emang susah?? Hahaha tuh kan sel2 otak lo blom nyambung juga ya. Susah emang jadi kapir, cebong pula. Orang ngomong kemana dia ngomong kemana, ngatain agama islam aja pake rujukan internasional. Hahaha ma",1,1,1,0,1,0,0,0,0
5,5158,"USER USER Itu pola pikir manusia,brengsek, dungu, yang sangat merugikan orang lain....\xf0\x9f\x98\xac\xf0\x9f\x98\xac\xf0\x9f\x98\xac\xf0\x9f\x98\xac\xf0\x9f\x98\xac'",1,1,1,0,0,0,0,0,1
6,7056,jongos-jongos NYA JOKOWI KEK CACING KEPANASAN..WKWKWK...,1,1,0,1,0,0,0,0,1
7,6802,Ada Foto Asma Dewi dan Anies-Sandi Ruhut: Sudah Terang Benderang URL Ibu ini yg teriak-teriak bunuh ahok,1,0,1,0,0,0,0,0,1
8,1926,"Mungkin ""KITAB SUCI"" nya Bung USER Atau yg Lain.; Soalnya Bung USER Nggak Singgung Kitab Atau Ayat Suciku.; Lagian Dalam Hal Definisi Meng Aktifkan Imajinasi.; Jadi I Don't Care.., ; Dan yg Pasti KITAB SUCI ku BERBEDA dgn yg Lain.; Bagiku A",1,0,0,1,1,0,0,0,0
9,5726,Bung Karno juga dihianati PKI yang PKI itu mayoritas orang Jawa kemudian PKI di bantai lagi sama Pak Harto yang dari Jawa. \n\nSekarang malah Jokowi mewakili suara mayoritas Jawa yang pro asing.',1,0,1,0,0,1,0,0,0
10,2344,"Kalo ingat kata"" ini lucu hhhaa --&gt; yang budek kurasa org yg pnya hape itu hhhhaaaaa hapenya bolak balik bunyi ga diangkat. Oalah oalah!'",0,0,0,0,0,0,0,0,0
11,1075,"USER Mau pegang rusia takut dituduh antek komunis, mau pegan kroasia takut dituduh antek kafir.. semenjak bnyk tukang tuduh hpup sy sulit'",0,0,0,0,0,0,0,0,0
12,11805,Jika Allah Berkehendak akan klop pasangan USER #2019PrabowoAnisMatta akan bikin lawan kucarkacir; ; Siap dukung #2019GantiPresiden ??,1,0,1,0,0,0,0,0,1
13,12860,katanya mau menuntaskan AMANAT PENDERITAAN Rakyat Rakyat Pribumi Indonesia atau rakyat CINA...?? hey jokowi.. jgn jd PENGHIANAT Umat donk,1,0,1,0,0,0,0,0,1
14,12983,Kekejaman umat budha di myanmar kejam dialah teroris sebenarnya URL,1,0,0,1,1,0,0,0,0
15,12494,"Paling nanti komentarnya ""jangan transaksi pake dollar"".; ; #2019GantiPresiden ; #2019PresidenBaru",1,0,1,0,0,0,0,0,1
16,60,[ SAMPAI KAPAN MAKAN RACUN ? ]; _; Banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ?¦,0,0,0,0,0,0,0,0,0
17,1884,USER Saya berharap bukan PKS yg bubar tpi PKI dan PDIP yg bubar',1,0,0,1,0,0,0,0,1
18,10269,Wah kelas berat nih!; ; Beruntung Jakarta punya Gubernur yang keren gini! Ga pake Amarah dan marah2 dalam bekerja tapi memakai Arah dan Sumingrah dalam menata dan membangun Jakarta!,0,0,0,0,0,0,0,0,0
19,12692,"Mari perbanyak mempelajari ilmu agama, agar kita memiliki pengetahuan atas setiap amal perbuatan yang kita lakukan. Selamat beristirahat, sobat Lazismu! â?º #DeliveringHappiness",0,0,0,0,0,0,0,0,0
20,5332,44. Dengan cara itu gerombolan USER USER dan Rizieq FPI terus bisa memainkan isu Pemerintah Jokowi pro PKI. USER.,1,0,1,0,0,1,0,0,0
21,8268,RT USER: USER USER USER Kyanya ijin pemerinth setempat yg goblog kasih ijin',1,1,0,1,0,0,0,0,1
22,7928,"USER nggak ada RUU yang sempurna sich, nanti lihat saja perkembangan nya, kalau masih terjadi bom lagi, artinya RUU tersebut masih kurang keras atau masih kurang represif, dan masih membuat ragu aparat nya,dan kalau sudah nggak terjadi berarti sudah",0,0,0,0,0,0,0,0,0
23,10144,USER harap maklum aja pak. pembuat isu itu selain udah Toku medekati idiot juga \xf0\x9f\x98\x9d',0,1,0,0,0,0,0,0,0
24,6719,"#Serba #Mendadak; ; Mendapat peci, ; Mendadak dekat ulama,; Mendadak singgah Pesantren, ; Mendadak mirip Sahabah Nabi,; ; Kitab Suci Fiksi,; Mendadak Bela Islam; ; #Baper Salah Tempat ; ; 411, 212, kemane aje? ð???",0,0,0,0,0,0,0,0,0
25,12373,"Rame-rame Hijrah ke PBB, Pengamat: Kemungkinan PPP Tidak Lolos Ambang Batas Parlemen",0,0,0,0,0,0,0,0,0
26,221,USER USER Pantas indonesia mundur dalam segala bentuk,1,0,1,0,0,0,0,0,1
27,327,Indonesia Blom Merdeka Indonesia Masih Dijajah Oleh Orang Cina !!! TakbirAllauakbar URL,1,0,0,1,0,1,0,0,0
28,1492,Qaumi ekjayati conference jamiat ul ulama e hind....Janab Mohd Ali Shabbir ka qususi qitaab...,0,0,0,0,0,0,0,0,0
29,11851,USER USER USER USER Naik buaya sambil makan pepaya?',0,0,0,0,0,0,0,0,0
30,4694,"Gw ngerti kalo abang gw mau ngobrolin ini udah ngumpulin keberanian dulu sampe agak gemeter pas ngomonginnya. Bukannya gw mau ngejelekin status janda atau gimana, tapi di lingkaran pekerjaan ortu gw sangat menjungjung tinggi budaya timur.",0,0,0,0,0,0,0,0,0
